mode,blood_group,units,distance_km,from_bank,from_district,from_type,from_capacity,to_bank,to_district,to_type,to_capacity,reason
demand,A+,8,27.3,Aditya Hospital Blood Centre,Medchal Malkajgiri,Private,182,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,8u A+: Aditya Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,2,27.3,Srujana Telangana Thalassemia Society Blood Center,Medchal Malkajgiri,Private,134,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Srujana Telangana Thalassemia Society Blood Center → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,1,27.3,Radnya Blood Centre,Medchal Malkajgiri,Charitable/Vol,116,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Radnya Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,7,27.3,Msn Blood Centre,Medchal Malkajgiri,Charitable/Vol,279,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,7u A+: Msn Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,12,27.3,New Suchitra Blood Centre,Medchal Malkajgiri,Private,261,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,12u A+: New Suchitra Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,25,27.3,Mallareddy Narayana Multispeciality Hospital Blood Centre,Medchal Malkajgiri,Private,727,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,25u A+: Mallareddy Narayana Multispeciality Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,15,27.3,Akshaya Blood Centre,Medchal Malkajgiri,Charitable/Vol,722,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,15u A+: Akshaya Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,11,27.3,Mamata Academy Of Medical Sciences,Medchal Malkajgiri,Charitable/Vol,316,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,11u A+: Mamata Academy Of Medical Sciences → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,4,27.3,Mallareddy Medical College And Mallareddy General Hospital Blood Centre,Medchal Malkajgiri,Private,495,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,4u A+: Mallareddy Medical College And Mallareddy General Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,3,27.3,"District Medchal  Esi Hospital, Nacharam",Medchal Malkajgiri,Govt.,71,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,"3u A+: District Medchal  Esi Hospital, Nacharam → Apollo Hospitals Enterprise Ltd (27.3 km)"
demand,A+,13,27.3,Arundhathi Hospital Blood Center,Medchal Malkajgiri,Private,363,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,13u A+: Arundhathi Hospital Blood Center → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A+,3,50.9,GGH SANGAREDDY BLOODCENTER,Sangareddy,Govt.,207,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: GGH SANGAREDDY BLOODCENTER → Apollo Hospitals Enterprise Ltd (50.9 km)
demand,A+,1,50.9,Sree Balaji Blood Centre,Sangareddy,Charitable/Vol,176,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Sree Balaji Blood Centre → Apollo Hospitals Enterprise Ltd (50.9 km)
demand,A+,1,50.9,Maheshwara Medical College And Maheshwara Hospital (Alleti Shrunitha Educational Society),Sangareddy,Private,102,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Maheshwara Medical College And Maheshwara Hospital (Alleti Shrunitha Educational Society) → Apollo Hospitals Enterprise Ltd (50.9 km)
demand,A+,11,62.5,Vikarabad Blood Centre,Vikarabad,Charitable/Vol,228,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,11u A+: Vikarabad Blood Centre → Apollo Hospitals Enterprise Ltd (62.5 km)
demand,A+,1,62.5,Government District Hospital Blood Centre Tandur,Vikarabad,Govt.,29,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Government District Hospital Blood Centre Tandur → Apollo Hospitals Enterprise Ltd (62.5 km)
demand,A+,6,76.3,Govt Blood Centre Medak,Medak,Govt.,29,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,6u A+: Govt Blood Centre Medak → Apollo Hospitals Enterprise Ltd (76.3 km)
demand,A+,1,82.5,Government General Hospital Blood Centre Jangaon,Jangaon,Govt.,71,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Government General Hospital Blood Centre Jangaon → Apollo Hospitals Enterprise Ltd (82.5 km)
demand,A+,2,82.5,SR BLOOD CENTRE ( A UNIT OF JEEVANA JYOTHI SEVA SANGAM ),Jangaon,Charitable/Vol,213,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: SR BLOOD CENTRE ( A UNIT OF JEEVANA JYOTHI SEVA SANGAM ) → Apollo Hospitals Enterprise Ltd (82.5 km)
demand,A+,6,88.4,Mithra Blood Centre( A Unit Of Jeevanajyothi Seva Sangam),Siddipet,Charitable/Vol,244,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,6u A+: Mithra Blood Centre( A Unit Of Jeevanajyothi Seva Sangam) → Apollo Hospitals Enterprise Ltd (88.4 km)
demand,A+,16,88.4,Govt. General Hospital Blood Centre Siddipet,Siddipet,Govt.,377,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,16u A+: Govt. General Hospital Blood Centre Siddipet → Apollo Hospitals Enterprise Ltd (88.4 km)
demand,A+,5,88.4,Nsv Blood Centre Siddipet,Siddipet,Charitable/Vol,232,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,5u A+: Nsv Blood Centre Siddipet → Apollo Hospitals Enterprise Ltd (88.4 km)
demand,A+,21,88.4,Rvm Trust Hospital Blood Centre,Siddipet,Charitable/Vol,198,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,21u A+: Rvm Trust Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (88.4 km)
demand,A+,3,88.4,M/S.Shri P.V.Narasimha Rao Memorial Charitable Trust Blood Centre,Siddipet,Charitable/Vol,20,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: M/S.Shri P.V.Narasimha Rao Memorial Charitable Trust Blood Centre → Apollo Hospitals Enterprise Ltd (88.4 km)
demand,A+,14,89.0,"Indian Red Cross Society District Branch, Mahabubnagar",Mahbubnagar,Red Cross ,64,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,"14u A+: Indian Red Cross Society District Branch, Mahabubnagar → Apollo Hospitals Enterprise Ltd (89.0 km)"
demand,A+,13,89.0,District  Mahabubnagar Ggh Hospital Blood Bank,Mahbubnagar,Govt.,46,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,13u A+: District  Mahabubnagar Ggh Hospital Blood Bank → Apollo Hospitals Enterprise Ltd (89.0 km)
demand,A+,10,89.0,Svs Medical College Hospital Blood Centre  (Svs Educational Society),Mahbubnagar,Private,243,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,10u A+: Svs Medical College Hospital Blood Centre  (Svs Educational Society) → Apollo Hospitals Enterprise Ltd (89.0 km)
demand,A+,3,91.2,Kamineni Institute Of Medical Sciences Hospital,Nalgonda,Private,13,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: Kamineni Institute Of Medical Sciences Hospital → Apollo Hospitals Enterprise Ltd (91.2 km)
demand,A+,2,91.2,Raksha Blood Centre,Nalgonda,Charitable/Vol,29,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Raksha Blood Centre → Apollo Hospitals Enterprise Ltd (91.2 km)
demand,A+,2,91.2,BLOOD CENTRE  NALGONDA,Nalgonda,Govt.,56,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: BLOOD CENTRE  NALGONDA → Apollo Hospitals Enterprise Ltd (91.2 km)
demand,A+,2,116.9,Rajanna Sircilla Blood Centre,Rajanna Sircilla,Private,293,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Rajanna Sircilla Blood Centre → Apollo Hospitals Enterprise Ltd (116.9 km)
demand,A+,12,116.9,"Government General Hospital, Blood Centre, Rajanna Sircilla",Rajanna Sircilla,Govt.,49,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,"12u A+: Government General Hospital, Blood Centre, Rajanna Sircilla → Apollo Hospitals Enterprise Ltd (116.9 km)"
demand,A+,3,122.7,New Life Blood Centre Wanaparthy,Wanaparthy,Private,7,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: New Life Blood Centre Wanaparthy → Apollo Hospitals Enterprise Ltd (122.7 km)
demand,A+,8,123.5,Sri Tirumala Hospital Blood Centre,Suryapet,Private,185,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,8u A+: Sri Tirumala Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (123.5 km)
demand,A+,19,123.5,District  Suryapet Ggh Hospital Blood Bank,Suryapet,Govt.,260,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,19u A+: District  Suryapet Ggh Hospital Blood Bank → Apollo Hospitals Enterprise Ltd (123.5 km)
demand,A+,8,133.3,Sanjeevani Blood Centre,Hanumakonda,Charitable/Vol,365,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,8u A+: Sanjeevani Blood Centre → Apollo Hospitals Enterprise Ltd (133.3 km)
demand,A+,5,133.3,Government Maternity Hospital Blood Centre,Hanumakonda,Govt.,176,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,5u A+: Government Maternity Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (133.3 km)
demand,A+,19,133.8,"MAHATHMA GANDHI MEMORIAL HOSPITAL BLOOD CENTRE, Warangal",Warangal,Govt.,304,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,"19u A+: MAHATHMA GANDHI MEMORIAL HOSPITAL BLOOD CENTRE, Warangal → Apollo Hospitals Enterprise Ltd (133.8 km)"
demand,A+,2,133.8,Prathima Cancer Institute Blood Centre,Warangal,Private,47,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Prathima Cancer Institute Blood Centre → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A+,4,133.8,MAHADEVA VOLUNTARY BLOOD CENTRE,Warangal,Charitable/Vol,110,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,4u A+: MAHADEVA VOLUNTARY BLOOD CENTRE → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A+,1,133.8,Mother Vol,Warangal,Charitable/Vol,274,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Mother Vol → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A+,1,133.8,Orugallu Voluntary Blood Centre,Warangal,Charitable/Vol,143,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Orugallu Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A+,1,133.8,Jeevan Voluntary Blood Centre,Warangal,Charitable/Vol,181,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Jeevan Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A+,9,133.8,Telangana Voluntary Blood Centre,Warangal,Charitable/Vol,397,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,9u A+: Telangana Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A+,7,133.8,Suraksha Voluntary Blood Centre,Warangal,Charitable/Vol,279,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,7u A+: Suraksha Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A+,4,135.7,Spandana Blood Centre,Karimnagar,Charitable/Vol,181,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,4u A+: Spandana Blood Centre → Apollo Hospitals Enterprise Ltd (135.7 km)
demand,A+,15,135.7,Prathima Institute Of Medical Sciences Blood Centre,Karimnagar,Private,340,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,15u A+: Prathima Institute Of Medical Sciences Blood Centre → Apollo Hospitals Enterprise Ltd (135.7 km)
demand,A+,13,135.7,Chalmada Ananda Rao Institute Of Medical Sciences Blood Centre,Karimnagar,Private,121,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,13u A+: Chalmada Ananda Rao Institute Of Medical Sciences Blood Centre → Apollo Hospitals Enterprise Ltd (135.7 km)
demand,A+,2,135.7,Mgr Voluntary Blood Centre,Karimnagar,Charitable/Vol,235,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Mgr Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (135.7 km)
demand,A+,2,135.7,"Apollo Reach Hospitals, Blood Centre",Karimnagar,Private,335,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,"2u A+: Apollo Reach Hospitals, Blood Centre → Apollo Hospitals Enterprise Ltd (135.7 km)"
demand,A+,4,135.7,Mother Theresa Voluntary Blood Centre,Karimnagar,Charitable/Vol,114,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,4u A+: Mother Theresa Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (135.7 km)
demand,A+,6,147.7,Indian Red Cross Society Blood Bank Gadwal Telangana,Jogulamba Gadwal,Govt.,49,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,6u A+: Indian Red Cross Society Blood Bank Gadwal Telangana → Apollo Hospitals Enterprise Ltd (147.7 km)
demand,A+,3,148.6,Govt.General Hospital Nizamabad,Nizamabad,Govt.,414,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: Govt.General Hospital Nizamabad → Apollo Hospitals Enterprise Ltd (148.6 km)
demand,A+,6,148.6,Armoor Voluntary Blood Centre,Nizamabad,Private,148,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,6u A+: Armoor Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (148.6 km)
demand,A+,3,148.6,Nizamabad  Blood Centre,Nizamabad,Private,326,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: Nizamabad  Blood Centre → Apollo Hospitals Enterprise Ltd (148.6 km)
demand,A+,23,148.6,"Indian Red Cross Blood Bank, Nizamabad",Nizamabad,Red Cross ,695,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,"23u A+: Indian Red Cross Blood Bank, Nizamabad → Apollo Hospitals Enterprise Ltd (148.6 km)"
demand,A+,3,162.5,Radnya Blood Centre,Jagtial,Charitable/Vol,113,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A+: Radnya Blood Centre → Apollo Hospitals Enterprise Ltd (162.5 km)
demand,A+,11,165.8,District Ramagundam Ggh Hospital Blood Bank,Peddapalli,Govt.,446,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,11u A+: District Ramagundam Ggh Hospital Blood Bank → Apollo Hospitals Enterprise Ltd (165.8 km)
demand,A+,9,177.3,Mamata General Hospital Blood Centre,Khammam,Private,539,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,9u A+: Mamata General Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,7,177.3,Siri Blood Centre,Khammam,Private,88,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,7u A+: Siri Blood Centre → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,2,177.3,M/S Siva Multy Speciality Hospital,Khammam,Private,66,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: M/S Siva Multy Speciality Hospital → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,7,177.3,CARES BLOOD CENTRE Khammam,Khammam,Charitable/Vol,191,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,7u A+: CARES BLOOD CENTRE Khammam → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,11,177.3,Vidura Voluntary Blood Centre,Khammam,Private,301,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,11u A+: Vidura Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,9,177.3,Rithanya Voluntary Blood Centre,Khammam,Charitable/Vol,103,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,9u A+: Rithanya Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,6,177.3,Nova Care Blood Centre,Khammam,Charitable/Vol,352,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,6u A+: Nova Care Blood Centre → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,46,177.3,BLOOD CENTRE GOVERNMENT GENERAL HOSPITAL KHAMMAM,Khammam,Govt.,277,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,46u A+: BLOOD CENTRE GOVERNMENT GENERAL HOSPITAL KHAMMAM → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A+,8,183.8,District Bhupalpally  Ggh Hospital Blood Bank,Jayashankar Bhupalpally,Govt.,360,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,8u A+: District Bhupalpally  Ggh Hospital Blood Bank → Apollo Hospitals Enterprise Ltd (183.8 km)
demand,A+,4,191.3,District Nirmal Ggh Hospital Blood Bank,Nirmal,Govt.,187,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,4u A+: District Nirmal Ggh Hospital Blood Bank → Apollo Hospitals Enterprise Ltd (191.3 km)
demand,A+,1,191.3,Sri Dhanvantari Blood Centre,Nirmal,Charitable/Vol,168,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Sri Dhanvantari Blood Centre → Apollo Hospitals Enterprise Ltd (191.3 km)
demand,A+,7,194.6,Amruth Voluntary Blood Centre,Mancherial,Charitable/Vol,460,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,7u A+: Amruth Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (194.6 km)
demand,A+,29,194.6,Indian Red Cross Society Blood Bank Mancherial,Mancherial,Red Cross ,381,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,29u A+: Indian Red Cross Society Blood Bank Mancherial → Apollo Hospitals Enterprise Ltd (194.6 km)
demand,A+,5,227.1,AREA HOSPITAL BLOOD BANK BHADRACHALAM,Bhadradri Kothagudem,Govt.,510,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,5u A+: AREA HOSPITAL BLOOD BANK BHADRACHALAM → Apollo Hospitals Enterprise Ltd (227.1 km)
demand,A+,1,227.1,Bhadradri Blood Centre,Bhadradri Kothagudem,Charitable/Vol,146,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Bhadradri Blood Centre → Apollo Hospitals Enterprise Ltd (227.1 km)
demand,A+,2,227.1,Sarala Voluntary Blood Centre,Bhadradri Kothagudem,Charitable/Vol,78,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A+: Sarala Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (227.1 km)
demand,A+,17,227.1,Indian Red Cross Society Blood Bank Bhadrachalam,Bhadradri Kothagudem,Red Cross ,401,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,17u A+: Indian Red Cross Society Blood Bank Bhadrachalam → Apollo Hospitals Enterprise Ltd (227.1 km)
demand,A+,1,235.0,Jeevandhara Voluntary Blood Centre,Kumaram Bheem Asifabad,Charitable/Vol,157,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Jeevandhara Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (235.0 km)
demand,A+,1,254.1,Rajiv Gandhi Institute of Medical Sciences  Blood Bank,Adilabad,Govt.,548,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A+: Rajiv Gandhi Institute of Medical Sciences  Blood Bank → Apollo Hospitals Enterprise Ltd (254.1 km)
demand,A-,1,19.8,Citizens Hospital Blood Centre,Rangareddy,Private,88,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A-: Citizens Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A-,1,19.8,M/S Sindhu Hospitals Blood Center (Sai Sindhu Foundation),Rangareddy,Charitable/Vol,232,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A-: M/S Sindhu Hospitals Blood Center (Sai Sindhu Foundation) → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A-,1,19.8,Asian Institute Of Gastroenterology Private Limited  Blood Centre,Rangareddy,Private,857,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A-: Asian Institute Of Gastroenterology Private Limited  Blood Centre → Apollo Hospitals Enterprise Ltd (19.8 km)
demand,A-,1,27.3,Mallareddy Narayana Multispeciality Hospital Blood Centre,Medchal Malkajgiri,Private,727,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A-: Mallareddy Narayana Multispeciality Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A-,2,27.3,Akshaya Blood Centre,Medchal Malkajgiri,Charitable/Vol,722,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A-: Akshaya Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,A-,1,133.3,Government Maternity Hospital Blood Centre,Hanumakonda,Govt.,176,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A-: Government Maternity Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (133.3 km)
demand,A-,2,133.8,Suraksha Voluntary Blood Centre,Warangal,Charitable/Vol,279,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A-: Suraksha Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (133.8 km)
demand,A-,3,135.7,Arogya Voluntary Blood Centre,Karimnagar,Charitable/Vol,103,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,3u A-: Arogya Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (135.7 km)
demand,A-,2,147.7,Indian Red Cross Society Blood Bank Gadwal Telangana,Jogulamba Gadwal,Govt.,49,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,2u A-: Indian Red Cross Society Blood Bank Gadwal Telangana → Apollo Hospitals Enterprise Ltd (147.7 km)
demand,A-,1,177.3,BLOOD CENTRE GOVERNMENT GENERAL HOSPITAL KHAMMAM,Khammam,Govt.,277,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A-: BLOOD CENTRE GOVERNMENT GENERAL HOSPITAL KHAMMAM → Apollo Hospitals Enterprise Ltd (177.3 km)
demand,A-,1,194.6,Amruth Voluntary Blood Centre,Mancherial,Charitable/Vol,460,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u A-: Amruth Voluntary Blood Centre → Apollo Hospitals Enterprise Ltd (194.6 km)
demand,AB+,1,27.3,Sri Anjaniputhra Blood Centre,Medchal Malkajgiri,Private,392,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u AB+: Sri Anjaniputhra Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,AB+,1,27.3,Aditya Hospital Blood Centre,Medchal Malkajgiri,Private,182,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u AB+: Aditya Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
demand,AB+,1,27.3,Mallareddy Narayana Multispeciality Hospital Blood Centre,Medchal Malkajgiri,Private,727,Apollo Hospitals Enterprise Ltd,Hyderabad,Private,1876,1u AB+: Mallareddy Narayana Multispeciality Hospital Blood Centre → Apollo Hospitals Enterprise Ltd (27.3 km)
